context,requests,variant,dynamic_relocation_copy_bytes,block_gather_copy_bytes,append_copy_bytes,largest_layer_growth_live_bytes,largest_layer_gather_output_bytes,dynamic_growth_seconds,block_gather_seconds,prefill_budget_bytes,prefill_usable_budget_bytes,prefill_active_sequences,prefill_reserved_tensor_bytes,prefill_committed_capacity_bytes,prefill_assigned_bytes,prefill_used_bytes,prefill_wasted_assigned_bytes,prefill_promised_unassigned_bytes,prefill_uncommitted_usable_bytes,prefill_free_pool_bytes,prefill_unreserved_budget_bytes
128,4,dynamic,45072384,0,6635520,137728,0,0.11963878967799246,0.0,102236160,102236160,4,6291456,6635520,6291456,6291456,0,344064,95600640,0,95944704
128,4,block8,0,51707904,6635520,0,69120,0,0.3858573429752141,102236160,102236160,4,102236160,6684672,6291456,6291456,0,393216,95551488,95944704,0
128,4,block16,0,51707904,6635520,0,69120,0,0.2803812006022781,102236160,102236160,4,102236160,7077888,6291456,6291456,0,786432,95158272,95944704,0
128,4,block32,0,51707904,6635520,0,69120,0,0.21190073946490884,102236160,102236160,4,102236160,7864320,6291456,6291456,0,1572864,94371840,95944704,0
128,8,contiguous,0,0,13271040,0,0,0,0.0,204472320,204472320,8,204472320,204472320,204472320,12582912,191889408,0,0,0,0
128,8,dynamic,90144768,0,13271040,137728,0,0.23567665601149201,0.0,204472320,204472320,8,12582912,13271040,12582912,12582912,0,688128,191201280,0,191889408
128,8,block8,0,103415808,13271040,0,69120,0,0.8010022514499724,204472320,204472320,8,204472320,13369344,12582912,12582912,0,786432,191102976,191889408,0
128,8,block16,0,103415808,13271040,0,69120,0,0.5923327151685953,204472320,204472320,8,204472320,14155776,12582912,12582912,0,1572864,190316544,191889408,0
128,8,block32,0,103415808,13271040,0,69120,0,0.4419440298806876,204472320,204472320,8,204472320,15728640,12582912,12582912,0,3145728,188743680,191889408,0
256,1,contiguous,0,0,3231744,0,0,0,0.0,25559040,25559040,1,25559040,25559040,25559040,3145728,22413312,0,0,0,0
256,1,dynamic,22278144,0,3231744,268800,0,0.030682497890666127,0.0,25559040,25559040,1,3145728,3231744,3145728,3145728,0,86016,22327296,0,22413312
256,1,block8,0,25509888,3231744,0,134656,0,0.1667151590809226,25559040,25559040,1,25559040,3244032,3145728,3145728,0,98304,22315008,22413312,0
256,1,block16,0,25509888,3231744,0,134656,0,0.0994367441162467,25559040,25559040,1,25559040,3342336,3145728,3145728,0,196608,22216704,22413312,0
256,1,block32,0,25509888,3231744,0,134656,0,0.07069190847687423,25559040,25559040,1,25559040,3538944,3145728,3145728,0,393216,22020096,22413312,0
256,2,contiguous,0,0,6463488,0,0,0,0.0,51118080,51118080,2,51118080,51118080,51118080,6291456,44826624,0,0,0,0
256,2,dynamic,44556288,0,6463488,268800,0,0.06370503711514175,0.0,51118080,51118080,2,6291456,6463488,6291456,6291456,0,172032,44654592,0,44826624
256,2,block8,0,51019776,6463488,0,134656,0,0.3362435318995267,51118080,51118080,2,51118080,6488064,6291456,6291456,0,196608,44630016,44826624,0
256,2,block16,0,51019776,6463488,0,134656,0,0.1941023946274072,51118080,51118080,2,51118080,6684672,6291456,6291456,0,393216,44433408,44826624,0
256,2,block32,0,51019776,6463488,0,134656,0,0.13651827746070921,51118080,51118080,2,51118080,7077888,6291456,6291456,0,786432,44040192,44826624,0
256,4,contiguous,0,0,12926976,0,0,0,0.0,102236160,102236160,4,102236160,102236160,102236160,12582912,89653248,0,0,0,0
256,4,dynamic,89112576,0,12926976,268800,0,0.1222654094453901,0.0,102236160,102236160,4,12582912,12926976,12582912,12582912,0,344064,89309184,0,89653248
256,4,block8,0,102039552,12926976,0,134656,0,0.656624840805307,102236160,102236160,4,102236160,12976128,12582912,12582912,0,393216,89260032,89653248,0
256,4,block16,0,102039552,12926976,0,134656,0,0.39368897094391286,102236160,102236160,4,102236160,13369344,12582912,12582912,0,786432,88866816,89653248,0
256,4,block32,0,102039552,12926976,0,134656,0,0.2807140527293086,102236160,102236160,4,102236160,14155776,12582912,12582912,0,1572864,88080384,89653248,0
256,8,contiguous,0,0,25853952,0,0,0,0.0,204472320,204472320,8,204472320,204472320,204472320,25165824,179306496,0,0,0,0
256,8,dynamic,178225152,0,25853952,268800,0,0.2420061903540045,0.0,204472320,204472320,8,25165824,25853952,25165824,25165824,0,688128,178618368,0,179306496
256,8,block8,0,204079104,25853952,0,134656,0,1.3216190719977021,204472320,204472320,8,204472320,25952256,25165824,25165824,0,786432,178520064,179306496,0
256,8,block16,0,204079104,25853952,0,134656,0,0.7791599303018302,204472320,204472320,8,204472320,26738688,25165824,25165824,0,1572864,177733632,179306496,0
256,8,block32,0,204079104,25853952,0,134656,0,0.563086619367823,204472320,204472320,8,204472320,28311552,25165824,25165824,0,3145728,176160768,179306496,0
512,1,contiguous,0,0,6377472,0,0,0,0.0,25559040,25559040,1,25559040,25559040,25559040,6291456,19267584,0,0,0,0
512,1,dynamic,44298240,0,6377472,530944,0,0.030431461753323674,0.0,25559040,25559040,1,6291456,6377472,6291456,6291456,0,86016,19181568,0,19267584
512,1,block8,0,50675712,6377472,0,265728,0,0.2820021251682192,25559040,25559040,1,25559040,6389760,6291456,6291456,0,98304,19169280,19267584,0
512,1,block16,0,50675712,6377472,0,265728,0,0.16326845134608448,25559040,25559040,1,25559040,6488064,6291456,6291456,0,196608,19070976,19267584,0
512,1,block32,0,50675712,6377472,0,265728,0,0.10227816342376173,25559040,25559040,1,25559040,6684672,6291456,6291456,0,393216,18874368,19267584,0
512,2,contiguous,0,0,12754944,0,0,0,0.0,51118080,51118080,2,51118080,51118080,51118080,12582912,38535168,0,0,0,0
512,2,dynamic,88596480,0,12754944,530944,0,0.06201987620443106,0.0,51118080,51118080,2,12582912,12754944,12582912,12582912,0,172032,38363136,0,38535168
512,2,block8,0,101351424,12754944,0,265728,0,0.5656395209953189,51118080,51118080,2,51118080,12779520,12582912,12582912,0,196608,38338560,38535168,0
512,2,block16,0,101351424,12754944,0,265728,0,0.3288043213542551,51118080,51118080,2,51118080,12976128,12582912,12582912,0,393216,38141952,38535168,0
512,2,block32,0,101351424,12754944,0,265728,0,0.20738761010579765,51118080,51118080,2,51118080,13369344,12582912,12582912,0,786432,37748736,38535168,0
512,4,contiguous,0,0,25509888,0,0,0,0.0,102236160,102236160,4,102236160,102236160,102236160,25165824,77070336,0,0,0,0
