context,requests,variant,aggregate_decode_tokens_per_second_median,aggregate_decode_tokens_per_second_minimum,aggregate_decode_tokens_per_second_maximum,mean_request_ttft_seconds_median,mean_request_ttft_seconds_minimum,mean_request_ttft_seconds_maximum,mean_request_tpot_seconds_median,mean_request_tpot_seconds_minimum,mean_request_tpot_seconds_maximum,generation_seconds_median,generation_seconds_minimum,generation_seconds_maximum
128,8,block8,36.44876867469526,29.348461538716375,37.5891052643092,0.23021386688924395,0.21154529650812037,0.26523611933225766,0.22763567598095896,0.2217837529647763,0.27977050297860323,1.9286120623582974,1.8541834999341518,2.329363290918991
128,8,block16,40.78974247195332,36.81019603105116,42.447454522277404,0.20623386978695635,0.2042028595751617,0.2076690054673236,0.20534579092262512,0.19746430805701362,0.22608301635149733,1.7255580625496805,1.671636417042464,1.8781879160087556
128,8,block32,43.92753246509898,41.04268577057537,46.44112403768132,0.20330297105829231,0.20070589586975984,0.2059207609272562,0.19181790216368558,0.1820587708207313,0.20441652379564143,1.623416770948097,1.5496236248873174,1.7149650829378515
256,1,stock,45.515350813088745,43.86524911894229,45.97440702636808,0.07702602108474821,0.07636987511068583,0.08795762504450977,0.02197316663140165,0.021752416721678207,0.022798154702676193,0.23512812494300306,0.2289225000422448,0.2402245420962572
256,1,contiguous,46.110137819148136,41.253294696519205,47.28298716387265,0.07664204202592373,0.07528487499803305,0.08874962502159178,0.0216921190065997,0.021150303572150215,0.024242148834413717,0.2286640623351559,0.224522708915174,0.24497991683892906
256,1,dynamic,44.89132396130871,43.423576848304464,45.868541236656625,0.07735437504015863,0.07652704208157957,0.08602449996396899,0.022277208361109455,0.021802499990112016,0.02303002984263003,0.23533556261099875,0.22914454201236367,0.24205574998632073
256,1,block8,28.303817508341876,26.47479999978936,28.474697007832567,0.08449104195460677,0.08406670787371695,0.0938883749768138,0.035333095218188,0.03511991072446108,0.037772809454639046,0.3391962079331279,0.33015850000083447,0.34872125019319355
256,1,block16,35.165854730239616,33.34010724156425,35.87074752912708,0.08074393752031028,0.08017070800997317,0.09598212502896786,0.028439348214305937,0.027878958266228437,0.02999533330356436,0.27948189550079405,0.2758739579003304,0.3032609580550343
256,1,block32,38.40025675581124,35.22159510136223,39.41748455718311,0.07881125004496425,0.07823808281682432,0.09166187490336597,0.02604320236215634,0.025370523865733827,0.028394107141398957,0.2659861034480855,0.2566309170797467,0.2773060000035912
256,2,stock,47.60662981189786,44.62226659004016,49.011570869845514,0.12456671870313585,0.12216554209589958,0.12686691631097347,0.04591844789683819,0.044703672640025616,0.048688577338387926,0.45558222895488143,0.44756154087372124,0.4729447499848902
256,2,contiguous,49.03238887530931,42.73253721747352,50.383710989955524,0.1236098749213852,0.11449052148964256,0.12631764612160623,0.04472594494499,0.04375447322880583,0.05075657136538731,0.44572743750177324,0.4395009169820696,0.4792732500936836
256,2,dynamic,48.84830108484768,43.95671675684164,49.805314565717396,0.12681889545638114,0.11410570854786783,0.1280253540026024,0.04490161163266748,0.04411424107716552,0.049385044657226124,0.4511888123815879,0.444745457964018,0.4698021251242608
256,2,block8,28.795389143730688,27.047752289974472,29.640278183675825,0.13313045830000192,0.12369804212357849,0.1403798966202885,0.07281887347510617,0.0708873660603006,0.07721689885615238,0.6609168956056237,0.6388664999976754,0.6908782920800149
256,2,block16,36.4010306560625,34.74334801180183,37.261579933755804,0.13164245843654498,0.12689077097456902,0.1349906879477203,0.0585929152189887,0.05746255657036922,0.06148913100228778,0.5550011879531667,0.5441683339886367,0.5778595830779523
256,2,block32,39.829426280200806,38.73582416289588,40.953594640225155,0.12803292699391022,0.11745745805092156,0.1312255001394078,0.05395471281372011,0.05264336605822401,0.05528959227792386,0.5182643750449643,0.49914270802401006,0.5255700000561774
256,4,stock,49.998195484037645,48.3057964295725,50.4507610714884,0.1982704532565549,0.19677928171586245,0.19998711411608383,0.09183933777967468,0.09130542706199257,0.09456368004404275,0.8684852919541299,0.8636912498623133,0.8903806249145418
256,4,contiguous,51.037142108972276,48.803908405502185,52.146402640577264,0.198118854110362,0.19592842715792358,0.2022538126911968,0.09029972395676719,0.08841805953332889,0.09374369646788441,0.8597772289067507,0.8486912921071053,0.8805382088758051
256,4,dynamic,49.620495473357934,47.960887878083305,50.34335743089553,0.19871698404313065,0.1968513227184303,0.20161192666273564,0.09248783184531412,0.0913069702219218,0.09517125599917822,0.8756310414755717,0.8643595830071718,0.8965796248521656
256,4,block8,29.564826580358194,28.573356546578445,30.441178265592406,0.21605498480494134,0.21144606277812272,0.22093550022691488,0.1455827611456958,0.14198170686306966,0.14996253871192622,1.2895774164935574,1.2576802091207355,1.3193948750849813
256,4,block16,37.54675025426957,36.71112264165396,38.14433271179325,0.20894915095414035,0.20521640655351803,0.2131042182445526,0.11687724254859079,0.1158548466794725,0.12035162650447871,1.0693953335285187,1.0602713329717517,1.0935159579385072
256,4,block32,41.8124405444801,38.482900962670186,43.16244833807077,0.20306564582278952,0.20262219838332385,0.2054584895959124,0.1068498936157474,0.10406996729683929,0.11434440774610266,0.9870934375794604,0.9677775839809328,1.0442019591573626
256,8,stock,49.834279659324665,45.73130739135376,51.087329537026605,0.34710935413022526,0.3445104534330312,0.3515933486924041,0.18791489621383206,0.1840421026655739,0.20135150819883815,1.729706562589854,1.7057342501357198,1.8264080840162933
256,8,contiguous,51.00504484092208,40.38261931543425,52.50707820669772,0.35690415638964623,0.3445408796542324,0.3771613849385176,0.18386895464417258,0.18025429388425046,0.2258742492912071,1.7113601670134813,1.678565250011161,2.0243371659889817
256,8,dynamic,49.0491548224995,48.04121419796351,50.79969455050762,0.3455633099656552,0.34313185431528836,0.35252484848024324,0.19065723771304227,0.18479408483835869,0.19318287798419728,1.748056646087207,1.7032357919961214,1.769231584155932
